group,Colombia
MaxPrimeOeste.ar,Max Prime Oeste,http://oneplay.tv/darkuzdev/?ch=MaxPrime2LASD
MAX.mx,Max,http://oneplay.tv/darkuzdev/?ch=MaxLASD
ext,Golden Premier 1,http://oneplay.tv/darkuzdev/?ch=GoldenPremier1LA
ext,Golden Premier 2,http://oneplay.tv/darkuzdev/?ch=GoldenPremiere2LA
CinecanalW.mx,CINECANAL,http://oneplay.tv/darkuzdev/?ch=CineCanalLA
Isat.mx,I Sat,http://oneplay.tv/darkuzdev/?ch=ISATLA
Multipremier.mx,Multipremier,http://oneplay.tv/darkuzdev/?ch=MultiPremierLA
TNT.mx,TNT,http://oneplay.tv/darkuzdev/?ch=TNTAmericaLatinaHD
Golden.mx,GOLDEN,http://oneplay.tv/darkuzdev/?ch=GoldenHD
GoldenEdge.mx,GOLDEN EDGE,http://oneplay.tv/darkuzdev/?ch=GoldenEdgeLA
paramount,Paramount Channel,http://oneplay.tv/darkuzdev/?ch=ParamountChannelLatinAmericaHD
SundanceChannel.gr,Sundance Channel,http://oneplay.tv/darkuzdev/?ch=SundanceLA
TheFilmZoneHD.mx,FILM ZONE,http://oneplay.tv/darkuzdev/?ch=FilmZoneLASD
AMC.mx,AMC,http://oneplay.tv/darkuzdev/?ch=AMCLASD
SpaceHD.mx,SPACE HD,http://oneplay.tv/darkuzdev/?ch=SpaceLA
CinecanalW.mx,CINECANAL,http://oneplay.tv/darkuzdev/?ch=CineCanalLA
ext,CINE MAX,http://oneplay.tv/darkuzdev/?ch=CinemaxLASD
AMC.mx,AMC,http://oneplay.tv/darkuzdev/?ch=AMCLASD
StudioUniversal.mx,STUDIO UNIVERSAL,http://oneplay.tv/darkuzdev/?ch=StudioUniversalSD
TCM.mx,TCM,http://oneplay.tv/darkuzdev/?ch=TCMSD
Europa.mx,Europa Europa,http://oneplay.tv/darkuzdev/?ch=EuropaEuropaLA

group,Musicales
MTV.mx,MTV,http://oneplay.tv/darkuzdev/?ch=MTVLA
MTVHits.ar,MTV Hits,http://oneplay.tv/darkuzdev/?ch=MTVHitsLA
zvezda,Dance,mmsh://194.88.200.11:80/dance?MSWMExt=.asf
vh-1-classic,VH1 Classic,http://oneplay.tv/darkuzdev/?ch=VH1ClassicLASD
1hdru,1HD,rtmp://109.239.142.62:1935/live/livestream3?1HD
HTV.mx,HTV,http://oneplay.tv/darkuzdev/?ch=HTVSD
Bandamax.mx,Bandamax,http://oneplay.tv/darkuzdev/?ch=BandamaxLA

group,Del Mundo
TVGlobo.mx,Tv Globo,http://oneplay.tv/darkuzdev/?ch=TVGloboLA
ext,Telecentro 13,http://oneplay.tv/darkuzdev/?ch=Telecentro13LA

group,Religiosos
ext,Tele Amiga,http://cdns840stu1010.multistream.net/teleamigalive/amlst:live/master.m3u8
AlfaTV.ba,Alfa TV,rtmp://streamer1.streamhost.org:1935/salive/GMIalfam
ext,Enlace Juvenil EJTV,http://acaooyalahd2-lh.akamaihd.net/i/TBN08_delivery@186246/master.m3u8
Enlace.us,Enlace,http://acaooyalahd2-lh.akamaihd.net/i/TBN07_delivery@186245/master.m3u8
Cbn.br,CBN,http://brightcove03-f.akamaihd.net/iptv2_1_900@50919?videoId=1370792317001&lineUpId=&pubId=734546207001&playerId=2210144031001&affiliateId=&v=3.4.0&fp=WIN%2016,0,0,305&r=QKDUB&g=VYPYWHJMHSEH
ext,Tele Vid,http://livestream-f.akamaihd.net/5864544_2511887_7e63f0d8_1_678@146034?v=3.6.0&fp=WIN%2017,0,0,169&r=BBDNG&g=ZOVNOWMCPRUE
EWTN.uk,EWTN,rtmp://ewtn.mpl.miisolutions.net:1935/ewtn-live-4/_definst_<playpath>mp4:900.mp4
ext,ESNE Canal Catolico,http://198.154.228.82:1935/live/esnetv/playlist.m3u8
ext,CTNi Cristiano,http://184.164.158.202:1936/48/smil:48.smil/playlist.m3u8
ext,TV Ca 39,rtmp://streamserver3.us:1935/tvcaelsalvador/live
ext,El Camino,rtmp://cdn.siscompnetwork.com:1935/live/elcaminotv.sdp
